Field Description,UPP INITPOST Name,Model Output Name,Dimensions,Notes,,,,,,,,,,,,,,,,,,,,,,,
,afej,afej,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aglyj,aglyj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ah2oi,ah2oi,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ah2oj,ah2oj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ah2ok,ah2ok,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ah3opi,ah3opi,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ah3opj,ah3opj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ah3opk,ah3opk,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aiso1j,aiso1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aiso2j,aiso2j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aiso3j,aiso3j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aivpo1j,aivpo1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,akj,akj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ald2,ald2,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ald2_primary,ald2_primary,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aldx,aldx,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,alvoo1i,alvoo1i,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,alvoo1j,alvoo1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,alvoo2i,alvoo2i,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,alvoo2j,alvoo2j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,alvpo1i,alvpo1i,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,alvpo1j,alvpo1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,amgj,amgj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,amnj,amnj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,anai,anai,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,anaj,anaj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,anh4i,anh4i,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,anh4j,anh4j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,anh4k,anh4k,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ano3i,ano3i,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ano3j,ano3j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,ano3k,ano3k,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aolgaj,aolgaj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aolgbj,aolgbj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aorgcj,aorgcj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aothri,aothri,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aothrj,aothrj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,apah1j,apah1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,apah2j,apah2j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,apah3j,apah3j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,apcsoj,apcsoj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aseacat,aseacat,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asij,asij,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aso4i,aso4i,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aso4j,aso4j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aso4k,aso4k,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asoil,asoil,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asqtj,asqtj,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asvoo1i,asvoo1i,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asvoo1j,asvoo1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asvoo2i,asvoo2i,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asvoo2j,asvoo2j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asvoo3j,asvoo3j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asvpo1i,asvpo1i,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asvpo1j,asvpo1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asvpo2i,asvpo2i,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asvpo2j,asvpo2j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,asvpo3j,asvpo3j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,atij,atij,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,atol1j,atol1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,atol2j,atol2j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,atol3j,atol3j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,atrp1j,atrp1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,atrp2j,atrp2j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,axyl1j,axyl1j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,axyl2j,axyl2j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,axyl3j,axyl3j,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,pm25ac,pm25ac,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,pm25at,pm25at,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,pm25co,pm25co,3d,aqfcmaq_on = True,,,,,,,,,,,,,,,,,,,,,,,
,aod550,aod550,2d,rdaod = True,,,,,,,,,,,,,,,,,,,,,,,
,du_aod550,du_aod550,2d,rdaod = True,,,,,,,,,,,,,,,,,,,,,,,
,ss_aod550,ss_aod550,2d,rdaod = True,,,,,,,,,,,,,,,,,,,,,,,
,su_aod550,su_aod550,2d,rdaod = True,,,,,,,,,,,,,,,,,,,,,,,
,oc_aod550,oc_aod550,2d,rdaod = True,,,,,,,,,,,,,,,,,,,,,,,
,bc_aod550,bc_aod550,2d,rdaod = True,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
